id,sugar_level,calories,weight,fat,food_color
1,145.76999999999998 gr,764 cal,1745.73 gr,46 gr,Lemon Yellow
2,-4.6000000000000085 gr,262 cal,1903.09 gr,24 gr,Navy Blue
3,95.81 gr,448 cal,1539.14 gr,27 gr,Sunset Yellow
4,100.16 gr,375 cal,746.22 gr,11 gr,Sunset Yellow
5,-8.560000000000002 gr,93 cal,134.08 gr,26 gr,Sunset Red
6,140.24 gr,651 cal,1989.74 gr,24 gr,Purple
7,35.260000000000005 gr,331 cal,1994.42 gr,32 gr,Navy Blue
8,35.47 gr,245 cal,438.82 gr,28 gr,Green
9,59.760000000000005 gr,771 cal,31.05 gr,24 gr,Coffee
10,-7.609999999999999 gr,99 cal,157.4 gr,4 gr,Purple
11,96.58000000000001 gr,506 cal,169.6 gr,26 gr,Sunset Yellow
12,5.180000000000007 gr,459 cal,169.26 gr,19 gr,Sunset Red
13,100.41999999999999 gr,346 cal,1296.55 gr,15 gr,Black
14,116.78999999999999 gr,436 cal,539.3 gr,36 gr,Sunset Yellow
15,86.53 gr,312 cal,1122.68 gr,38 gr,Green
16,142.05 gr,430 cal,228.75 gr,36 gr,Lemon Yellow
17,97.00999999999999 gr,262 cal,245.93 gr,31 gr,Rose
18,150.36 gr,384 cal,1414.85 gr,19 gr,Lemon Yellow
19,137.2 gr,679 cal,1127.89 gr,44 gr,Green
20,99.47999999999999 gr,361 cal,316.95 gr,2 gr,Green
21,93.92 gr,601 cal,34.85 gr,34 gr,Coffee
22,38.97000000000001 gr,103 cal,1794.98 gr,28 gr,Grass Green
23,60.330000000000005 gr,648 cal,1727.93 gr,16 gr,Sunset Red
24,151.37 gr,567 cal,381.67 gr,37 gr,Lemon Yellow
25,98.84 gr,127 cal,1354.14 gr,12 gr,Coffee
26,90.24000000000001 gr,470 cal,1344.53 gr,39 gr,Green
27,21.10000000000001 gr,419 cal,1209.2 gr,8 gr,Green
28,91.88999999999999 gr,496 cal,1616.76 gr,1 gr,
29,92.4 gr,493 cal,635.8 gr,27 gr,Navy Blue
30,81.95 gr,519 cal,1510.7 gr,30 gr,Sunset Red
31,111.53 gr,559 cal,1539.99 gr,20 gr,Black
32,85.38 gr,709 cal,208.61 gr,39 gr,Lemon Yellow
33,80.50999999999999 gr,52 cal,1168.65 gr,27 gr,Sunset Red
34,76.28 gr,318 cal,1639.35 gr,35 gr,Green
35,147.03 gr,490 cal,193.18 gr,40 gr,Black
36,-2.0700000000000074 gr,208 cal,944.56 gr,-1 gr,Black
37,108.09 gr,749 cal,1078.28 gr,37 gr,Green
38,140.57999999999998 gr,737 cal,102.83 gr,21 gr,Navy Blue
39,132.02 gr,591 cal,594.11 gr,38 gr,Green
40,102.27 gr,664 cal,509.34 gr,18 gr,Coffee
41,57.68000000000001 gr,28 cal,839.83 gr,17 gr,Lemon Yellow
42,33.370000000000005 gr,338 cal,1434.59 gr,13 gr,Rose
43,83.91 gr,184 cal,1501.83 gr,17 gr,Lemon Yellow
44,166.28 gr,511 cal,1104.82 gr,30 gr,Black
45,37.099999999999994 gr,94 cal,,22 gr,Grass Green
46,138.77 gr,499 cal,119.58 gr,18 gr,Grass Green
47,2.25 gr,21 cal,395.69 gr,14 gr,Purple
48,6.6000000000000085 gr,298 cal,203.06 gr,16 gr,Rose
49,117.63999999999999 gr,628 cal,974.71 gr,27 gr,Sunset Red
50,72.5 gr,751 cal,182.19 gr,17 gr,Lemon Yellow
51,32.91 gr,317 cal,1890.38 gr,7 gr,Rose
52,-20.36 gr,172 cal,437.4 gr,13 gr,Purple
53,91.37 gr,292 cal,1625.34 gr,23 gr,Sunset Red
54,116.31 gr,410 cal,1165.84 gr,18 gr,Coffee
55,-12.75 gr,349 cal,287.93 gr,6 gr,Lemon Yellow
56,44.22999999999999 gr,55 cal,1784.44 gr,8 gr,Sunset Red
57,109.72 gr,470 cal,1081.25 gr,24 gr,Coffee
58,140.32 gr,711 cal,1189.91 gr,16 gr,Lemon Yellow
